year,StateCode,CountyCode,meanIncome,medianIncome,povertyPop,medianAge
2011,06,065,684794,684794,161984,33.8
2011,06,067,510517,510517,107586,35
2011,06,071,609702,609702,170784,31.8
2011,06,073,1061056,1061056,235131,34.8
2011,06,075,342706,342706,54641,38.4
2011,06,077,213749,213749,47460,32.6
2011,06,079,101179,101179,23484,40.3
2011,06,081,256526,256526,25267,39.4
2011,06,083,140889,140889,26239,33
2011,06,085,606459,606459,88999,36.4
2011,06,087,94775,94775,19134,36.8
2011,06,089,69102,69102,13581,41.2
2011,06,095,139992,139992,25560,37.1
2011,06,097,180703,180703,22439,40.2
2011,06,099,167860,167860,49625,32.9
2011,06,101,31673,31673,6867,34.7
2011,06,107,131890,131890,46493,29.8
2011,06,111,265492,265492,38994,36.5
2011,06,113,70101,70101,19519,30.3
2011,06,115,23745,23745,5286,32.3
2011,08,001,151973,151973,27806,32.3
2011,08,005,224082,224082,29685,35.9
2011,08,013,118559,118559,17921,36.1
2011,08,031,266624,266624,46754,33.6
2011,08,035,104243,104243,5227,37.4
2011,08,041,237729,237729,41706,33.8
2011,08,059,217829,217829,20991,40.7
2011,08,069,121911,121911,24942,35.7
2011,08,077,59770,59770,8992,37.6
2011,08,101,62181,62181,12178,38.9
2011,08,123,90453,90453,21495,33.6
2011,09,001,331530,331530,42982,39.6
2011,09,003,347164,347164,47029,40.3
2011,09,005,75386,75386,7637,44.8
2011,09,007,64073,64073,3835,43.2
2011,09,009,326523,326523,49575,39.5
2011,09,011,108239,108239,11066,40.7
2011,09,013,53696,53696,5887,37.9
2011,09,015,45032,45032,5007,39.4
2011,10,001,56799,56799,11039,36.7
2011,10,003,202188,202188,30806,37.1
2011,10,005,74205,74205,9121,45.9
2011,11,001,268670,268670,60274,33.4
2011,12,001,96472,96472,40248,29.8
2011,12,005,69884,69884,10299,40
2011,12,009,216180,216180,32577,46
2011,12,011,668281,668281,102600,39.7
2011,12,015,68252,68252,8288,56.1
2011,12,017,60923,60923,11196,54.7
2011,12,019,66715,66715,11197,38.7
2011,12,021,123949,123949,26885,47.8
2011,12,023,23883,23883,4179,38.9
2011,12,031,329530,329530,84642,36
2011,12,033,107490,107490,23073,37.2
2011,12,035,34434,34434,7605,47.5
2011,12,053,71067,71067,18535,48.6
2011,12,055,40123,40123,6248,52.8
2011,12,057,464379,464379,101834,36.4
2011,12,061,57515,57515,6344,48.9
2011,12,069,113539,113539,20113,45.7
2011,12,071,238389,238389,43278,46.1
2011,12,073,110069,110069,38382,29.4
2011,12,081,134359,134359,27436,45.8
2011,12,083,133433,133433,19441,47.6
2011,12,085,59005,59005,9905,50.5
2011,12,086,818297,818297,198132,38.6
2011,12,087,24735,24735,3681,45.7
2011,12,089,27538,27538,2923,44.3
2011,12,091,70573,70573,7523,37.8
2011,12,095,415350,415350,83483,33.9
2011,12,097,92485,92485,20701,36
2011,12,099,521589,521589,90430,43.7
2011,12,101,182321,182321,32145,43.9
2011,12,103,392267,392267,56516,46.6
2011,12,105,217648,217648,52807,40.4
2011,12,107,28353,28353,8019,43.5
2011,12,109,77053,77053,7675,42.2
2011,12,111,105103,105103,24892,43.1
2011,12,113,57853,57853,6920,40
2011,12,115,173368,173368,18853,53.1
2011,12,117,144095,144095,21852,38.6
2011,12,119,44917,44917,5484,63.7
