year,StateCode,CountyCode,workers,medianHouseIncome,medianFamilyIncome,medianNonFamIncome,medianWorkerIncome
2011,42,075,69990,55019,63003,29313,30396
2011,42,077,182763,50978,61401,29688,29330
2011,42,079,160610,42847,55293,24397,27944
2011,42,081,59111,42391,54183,26597,23861
2011,42,085,53988,41648,51296,25141,23922
2011,42,089,86882,51875,60738,26010,25713
2011,42,091,442262,76220,94412,41296,41111
2011,42,095,154380,57950,69101,28780,30224
2011,42,097,44772,39822,51635,25252,28968
2011,42,101,715968,34207,42668,24654,27507
2011,42,107,69870,47437,58250,23978,29699
2011,42,111,35658,38658,49576,22173,24278
2011,42,125,107830,52783,65418,26564,30136
2011,42,129,183119,46474,60731,23680,28358
2011,42,133,235128,55551,66053,30566,30896
2011,44,003,94079,60416,76533,39112,36610
2011,44,005,45639,69119,82468,38725,33821
2011,44,007,333356,46875,59053,28469,30268
2011,44,009,72395,69528,86351,39957,32974
2011,45,003,72673,41522,50161,25767,26549
2011,45,007,88231,40943,52139,23834,27079
2011,45,013,78385,55439,60998,33945,25115
2011,45,015,93546,49553,54614,30729,28455
2011,45,019,187727,50510,62654,30898,26984
2011,45,031,30859,39125,47838,17066,25386
2011,45,035,69821,50266,57940,30719,30950
2011,45,041,67030,40232,49267,25772,25709
2011,45,045,232257,48586,59361,30016,29014
2011,45,047,32034,35678,50228,14584,26327
2011,45,051,138503,38775,47354,25562,22027
2011,45,057,36507,40232,50562,18874,26372
2011,45,059,29646,35178,43195,20897,23600
2011,45,063,139573,50661,63847,31628,31043
2011,45,073,30889,41153,52656,21700,23310
2011,45,075,40231,31031,41065,20118,22586
2011,45,077,56500,39348,47924,20773,20146
2011,45,079,209900,44969,54319,30704,24230
2011,45,083,140995,40167,50470,19220,26594
2011,45,085,48874,42009,49112,26101,26262
2011,45,091,119099,49406,61787,23439,30690
2011,46,099,100387,51365,65884,30616,28234
2011,46,103,54657,48981,62245,30959,24569
2011,47,001,35187,40756,56936,24906,29818
2011,47,009,59263,45858,55377,27959,24800
2011,47,011,49299,37149,52375,22652,23819
2011,47,037,351755,43556,54520,33549,26898
2011,47,059,31113,31873,41684,17783,21972
2011,47,065,173468,41769,53978,24193,25608
2011,47,093,231484,44580,60667,28913,29183
2011,47,113,45919,38743,50003,25641,25707
2011,47,119,41950,40518,51081,25194,25842
2011,47,125,88976,47154,56218,29007,28479
2011,47,141,32472,32874,45811,19045,23315
2011,47,147,34673,47785,51723,35825,30236
2011,47,149,144440,52249,65174,31621,30792
2011,47,155,47881,42066,51360,19942,22860
2011,47,157,471889,44391,54085,30754,27386
2011,01,003,93840,50900,66145,33795,30104
2011,01,015,54845,39037,49603,21414,23301
2011,01,043,36309,40054,53091,15370,27788
2011,01,049,33281,36541,40978,16159,24351
2011,01,051,38421,57405,64952,34993,30716
2011,01,055,43441,33313,45075,18277,24554
2011,01,069,49037,40336,50657,24819,25041
2011,01,073,320232,41976,56260,26384,27467
2011,01,077,43388,40121,53654,23340,23701
2011,01,081,71546,42965,57428,23178,22565
2011,01,083,38115,46339,52793,23980,26166
2011,01,089,180800,54444,70675,30604,29958
2011,01,095,41776,39245,46270,21663,26080
2011,01,097,192134,42372,51799,25153,27080
2011,01,101,111690,44185,53437,31175,25657
2011,01,103,60681,43590,52868,26284,24038
2011,01,115,39694,47500,52313,26320,31239
2011,01,117,107921,65815,80603,40048,35821
2011,01,121,34702,30367,40404,15880,21058
2011,01,125,91366,42056,55532,23442,22830
2011,01,127,27482,34343,46330,19267,24856
2011,02,020,170721,72813,85483,48294,37007
2011,02,090,55954,65920,70387,40021,32695
2011,02,170,42894,68672,75441,41206,37175
2011,04,001,25836,31123,40867,14043,21615
2011,04,003,53510,40903,49917,26003,20371
2011,04,005,71796,45045,55704,32012,20357
2011,04,013,1924684,50770,60753,33572,30523
2011,04,015,81250,35983,42656,22117,21006
2011,04,017,40804,30937,39861,22901,21225
2011,04,019,465773,44112,54120,27979,25868
2011,04,021,145012,44107,49012,24844,29427
2011,04,025,90202,41719,52643,25882,19844
2011,04,027,79015,38390,41899,29044,21783
2011,05,007,108595,52341,60141,31736,30945
2011,05,031,47794,37390,50225,22101,22364
2011,05,045,59906,49886,61112,27805,27897
2011,05,051,44137,34251,43467,23070,20625
2011,05,069,34582,39176,49987,18827,25897
2011,05,085,34295,48161,56748,32680,27585
2011,05,119,202907,43461,54902,25722,28250
2011,05,125,54332,53557,65018,28796,30955
2011,05,131,58646,35703,48353,21006,23404
2011,05,143,107158,37449,55213,23937,24390
2011,05,145,35448,44626,57254,20780,28702
2011,06,001,808803,67558,82476,44820,36991
2011,06,007,100845,39179,51896,23852,21606
2011,06,013,546240,74353,88294,44370,39308
2011,06,017,91662,61084,79452,32546,33075
2011,06,019,429560,42807,46812,29921,22399
2011,06,023,64649,41187,50077,24655,22030
2011,06,025,71068,37843,41341,23385,22052
2011,06,029,375780,45224,49703,27439,23155
2011,06,031,64623,50345,51634,26076,24656
2011,06,033,30800,35991,44516,27875,22534
2011,06,037,5035930,52280,58251,36842,27422
2011,06,039,54963,46570,49967,26054,21378
2011,06,041,134262,77168,100085,46956,38792
2011,06,045,45454,42431,51876,26053,22394
2011,06,047,113606,40055,43289,24868,22056
2011,06,053,198178,53179,56777,34920,21897
2011,06,055,71904,61460,67567,46980,32197
2011,06,057,48280,54080,70686,36764,23884
2011,06,059,1600381,72293,81663,46425,33134
2011,06,061,174089,68959,83992,35345,36978
2011,06,065,1027241,52883,60598,32613,27411
2011,06,067,714621,52314,60166,36168,30884
2011,06,071,954564,51247,55903,29901,27632
2011,06,073,1620638,59477,69924,39517,31574
2011,06,075,487173,69894,83540,58528,41192
2011,06,077,322972,50853,55993,31775,26210
2011,06,079,132227,54195,74032,31315,24441
2011,06,081,400617,81657,99043,52594,41429
2011,06,083,223188,60505,69946,35568,24704
2011,06,085,955006,84895,99383,52003,41905
2011,06,087,140384,62513,74928,37094,26961
2011,06,089,78565,42062,49477,20867,25156
2011,06,095,212685,63795,73755,38147,33373
2011,06,097,259339,61020,73946,39225,31772
2011,06,099,243730,44076,50684,26135,24800
2011,06,101,44142,49533,50832,34874,23910
2011,06,107,199986,41167,43356,29113,21780
2011,06,111,441537,74623,85235,44691,30280
2011,06,113,101385,49594,71085,27338,25059
2011,06,115,31774,43961,46647,24590,23339
2011,08,001,240515,52325,63020,32918,30824
2011,08,005,327539,56722,69039,37345,32049
2011,08,013,172016,68637,93017,37293,30006
2011,08,031,353198,47371,63290,38168,31789
2011,08,035,164856,93573,105465,62957,47449
2011,08,041,337962,54797,66828,32235,30030
2011,08,059,305255,64292,80152,39592,36699
2011,08,069,172063,55219,70682,33952,26477
2011,08,077,74762,47664,59447,29879,26968
2011,08,101,76404,40965,53277,23885,24870
2011,08,123,127931,51059,59610,29197,31375
2011,09,001,500760,77289,102292,42636,40108
2011,09,003,486029,60965,78161,35283,36056
2011,09,005,106445,69097,86119,36259,40092
2011,09,007,92914,77193,94100,47166,40960
2011,09,009,470892,59245,71994,36315,35348
2011,09,011,148855,64788,81353,38868,33084
2011,09,013,85359,78210,92469,42204,36276
2011,09,015,66881,55744,68826,33206,31827
2011,10,001,83555,52512,60015,25690,30016
2011,10,003,285940,63716,76935,40476,36509
