Year,StateCode,CountyCode,population,medianRealEstateTax,medianHouseholdCosts,totalHouses,medianHomeVal
2011,36,087,315158,9376,1789,68731,426800
2011,36,089,111690,1960,725,29562,86800
2011,36,091,220882,3800,1092,66503,226100
2011,36,093,155058,4424,961,36380,169200
2011,36,101,99033,2393,679,28967,85700
2011,36,103,1498816,7942,1954,392826,383400
2011,36,105,76900,3889,955,18138,168100
2011,36,109,101723,4034,967,21568,168500
2011,36,111,182448,5007,1139,45415,235200
2011,36,113,65831,2710,882,19091,195000
2011,36,117,93436,3294,797,28676,106900
2011,36,119,955899,10001,1688,208556,518800
2011,37,001,153291,1017,766,41491,130900
2011,37,019,110097,1060,863,35492,177800
2011,37,021,241419,1359,785,62088,188600
2011,37,023,90904,767,584,24242,108500
2011,37,025,181468,1408,914,46924,158100
2011,37,027,82395,825,621,23424,107300
2011,37,031,67373,1035,775,18398,208200
2011,37,035,154181,911,715,39918,124000
2011,37,045,97489,919,620,24086,103800
2011,37,049,104786,1127,906,24901,150700
2011,37,051,324885,1437,897,65560,134400
2011,37,057,162697,998,715,47511,130100
2011,37,063,273392,2143,963,59613,181100
2011,37,067,354952,1469,809,89878,151800
2011,37,071,207031,1267,803,54388,130700
2011,37,081,495279,1685,873,123653,157700
2011,37,085,119256,1113,802,26626,124700
2011,37,089,107927,1127,736,31898,185900
2011,37,097,161202,1193,898,45073,171100
2011,37,101,172595,1288,929,41847,148600
2011,37,109,78932,1228,839,22392,160200
2011,37,119,944373,1971,1051,216183,177300
2011,37,125,89352,1253,734,27056,180000
2011,37,127,96116,1026,805,23658,123900
2011,37,129,206189,1633,953,48518,224100
2011,37,133,179719,1037,1013,36369,153100
2011,37,135,135755,3288,1018,31313,262600
2011,37,147,171134,1318,803,34568,147700
2011,37,151,142358,927,773,41963,123700
2011,37,155,135517,722,577,28481,70700
2011,37,157,93329,889,633,27265,103300
2011,37,159,138019,1045,722,36061,130300
2011,37,161,67538,722,592,19283,120800
2011,37,171,73714,804,536,22041,102000
2011,37,179,205463,1540,1041,54221,185900
2011,37,183,929780,1900,1132,229471,225700
2011,37,191,123697,902,700,29746,97000
2011,37,193,68984,773,576,20279,112000
2011,37,195,81452,1115,817,18548,115200
2011,38,015,83145,2274,767,24513,162500
2011,38,017,152368,2596,782,35600,155900
2011,38,035,66598,2386,748,14039,148900
2011,39,003,106094,1432,654,28280,100200
2011,39,007,101345,1617,699,28049,110400
2011,39,013,70151,921,555,20947,87300
2011,39,017,369999,2202,972,96596,156400
2011,39,023,137691,1461,704,37104,110300
2011,39,025,199139,2201,969,55490,150500
2011,39,029,107570,1140,653,30479,95800
2011,39,035,1270294,2718,825,318973,123300
2011,39,041,178341,4173,1505,52073,246700
2011,39,043,76751,1773,782,21158,137300
2011,39,045,147066,2112,924,39310,166900
2011,39,049,1178799,2997,936,251023,150400
2011,39,055,93228,3287,1114,29745,211400
2011,39,057,162846,2629,958,42418,158900
2011,39,061,800362,2502,905,191480,142300
2011,39,063,75056,1418,711,21079,121800
2011,39,081,68828,845,568,20064,87500
2011,39,085,229885,2462,906,69272,147100
2011,39,089,167248,2076,892,47526,149900
2011,39,093,301614,2082,898,82664,140300
2011,39,095,440005,1975,742,106277,107500
2011,39,099,237270,1442,635,67408,96000
2011,39,101,66212,1235,695,15685,100600
2011,39,103,173262,2551,1076,52148,173800
2011,39,109,102857,1603,832,28589,139400
2011,39,113,537602,2321,813,137780,114000
2011,39,119,86237,1357,689,23932,112200
2011,39,133,161624,2049,874,41087,155200
2011,39,139,123510,1458,641,33363,104700
2011,39,141,78249,1328,793,21036,114300
2011,39,145,79277,895,545,19238,84800
2011,39,151,375087,1667,745,103467,123600
2011,39,153,539832,2257,841,145019,134200
2011,39,155,209264,1432,644,61427,95300
2011,39,157,92508,1270,671,26670,106200
2011,39,165,214910,2723,1265,60107,184500
2011,39,169,114611,1863,752,31727,137800
2011,39,173,126355,2140,871,33246,151500
2011,40,017,119492,1344,1016,33803,139400
2011,40,027,261281,1441,923,66186,141300
2011,40,031,125815,1072,811,25429,113800
2011,40,037,70467,915,647,18848,112300
2011,40,101,71003,570,585,18267,84100
2011,40,109,732371,1323,799,166718,127700
2011,40,119,77988,1035,732,16186,127800
2011,40,125,70280,696,657,18901,98800
2011,40,131,87706,1202,890,26825,143200
2011,40,143,610599,1448,828,148499,133300
2011,40,145,74098,1210,807,21509,140200
2011,41,003,85928,2887,820,18586,266700
2011,41,005,380207,3138,1223,98357,294800
2011,41,017,160338,2496,1051,40880,216200
2011,41,019,107490,1407,702,29926,180100
2011,41,029,204822,2169,934,48900,234200
2011,41,033,82987,1315,808,22506,209800
2011,41,035,65552,1168,724,17898,165900
2011,41,039,353416,2119,908,82365,212900
2011,41,043,118122,2095,801,28866,169900
2011,41,047,318872,2161,890,64963,188900
2011,41,051,748031,2972,1070,160980,257400
2011,41,053,75993,2452,896,17553,224200
2011,41,059,76725,1748,742,17005,148300
2011,41,067,540410,3148,1204,125006,275800
2011,41,071,100000,1918,1061,22833,207300
2011,42,001,101434,2730,1020,28880,195200
2011,42,003,1227066,2575,806,334867,123400
2011,42,005,68568,1732,621,21713,92800
2011,42,007,170414,1923,715,50604,114900
2011,42,011,412778,3179,974,112173,168300
