CountyCode,StateCode,Year,medianFamilyIncome,medianHomeVal,medianHouseIncome,medianHouseholdCosts,medianNonFamIncome,medianRealEstateTax,medianWorkerIncome,population,totalHouses,workers,meanIncome,medianAge,medianIncome,povertyPop,StateAndCounty
009,12,2011,58382,134700,46429,903,29131,1573,27693,543566,157470,259207,216180,46,216180,32577,111
011,12,2011,59452,168000,48880,1217,31392,2261,29710,1780172,427804,969813,668281,39.7,668281,102600,112
015,12,2011,53526,134200,41190,756,24628,1720,22753,160511,53067,65066,68252,56.1,68252,8288,113
017,12,2011,44259,109000,33764,642,22457,916,20150,140031,48781,52021,60923,54.7,60923,11196,114
019,12,2011,62330,154700,54389,1051,28779,1361,30685,192370,51226,94844,66715,38.7,66715,11197,115
021,12,2011,60465,242700,50564,1020,36058,1917,23268,328134,91261,149560,123949,47.8,123949,26885,116
023,12,2011,41748,103800,35008,630,22271,922,24031,67485,15097,29989,23883,38.9,23883,4179,117
031,12,2011,57031,146000,45958,1005,31729,1559,30084,870709,205335,462538,329530,36,329530,84642,118
033,12,2011,53721,121400,40917,864,28593,1014,23305,299114,71452,154345,107490,37.2,107490,23073,119
035,12,2011,54084,160000,46232,1033,20264,1638,28197,97376,26159,-999999999,34434,47.5,34434,7605,120
053,12,2011,47667,111800,41150,815,25425,1245,25532,173094,57004,67586,71067,48.6,71067,18535,121
055,12,2011,42264,85400,33652,567,21504,921,21121,98630,31982,36370,40123,52.8,40123,6248,122
057,12,2011,56324,151200,46761,1015,30889,1773,29625,1267775,278872,651616,464379,36.4,464379,101834,123
061,12,2011,52611,151600,39767,778,25723,1409,23764,138894,43810,60405,57515,48.9,57515,6344,124
069,12,2011,51541,138900,45454,816,25873,1710,23832,301019,85971,136900,113539,45.7,113539,20113,125
071,12,2011,55792,128300,45266,915,31011,1566,25191,631330,169394,280848,238389,46.1,238389,43278,126
073,12,2011,66478,184900,44731,1013,28834,1777,25308,277971,58742,155645,110069,29.4,110069,38382,127
081,12,2011,51203,155400,43234,922,28219,1757,26505,327142,93958,146630,134359,45.8,134359,27436,128
083,12,2011,43981,112400,36255,755,24822,1252,21841,332529,100836,136066,133433,47.6,133433,19441,129
085,12,2011,68277,205000,50022,953,27536,2188,26577,147495,45481,67310,59005,50.5,59005,9905,130
086,12,2011,46577,174700,40552,1184,26089,2449,24790,2554766,459282,1300231,818297,38.6,818297,198132,131
087,12,2011,61080,409500,51524,1165,35064,2513,23378,73873,14878,41984,24735,45.7,24735,3681,132
089,12,2011,59119,163400,52466,1050,30089,1419,27215,74195,22589,34932,27538,44.3,27538,2923,133
091,12,2011,60379,185000,49158,983,32187,1379,27553,183482,47160,96930,70573,37.8,70573,7523,134
095,12,2011,52394,155500,44732,1095,31349,1922,25358,1169107,236375,635376,415350,33.9,415350,83483,135
097,12,2011,43864,118500,41040,1044,28929,1614,23172,276163,56155,141159,92485,36,92485,20701,136
099,12,2011,60856,183700,48953,1158,32318,2500,28896,1335187,368016,652269,521589,43.7,521589,90430,137
101,12,2011,51785,115400,40766,820,22189,1231,27887,466457,140875,199745,182321,43.9,182321,32145,138
103,12,2011,57164,143600,42852,942,28496,1450,29672,917398,260768,457375,392267,46.6,392267,56516,139
105,12,2011,48472,109700,40272,827,23722,1198,25467,609492,151549,264789,217648,40.4,217648,52807,140
107,12,2011,37816,92300,30440,593,16562,896,23895,74041,21096,26524,28353,43.5,28353,8019,141
109,12,2011,73211,235900,62510,1192,36053,2564,31220,195823,57923,99812,77053,42.2,77053,7675,142
111,12,2011,50140,110100,40898,959,23924,1662,23544,280379,79128,129234,105103,43.1,105103,24892,143
113,12,2011,60596,159100,53103,1040,36247,1267,30956,154104,42001,73999,57853,40,57853,6920,144
115,12,2011,57343,163800,47189,909,31709,1772,27280,382213,126893,169747,173368,53.1,173368,18853,145
117,12,2011,62814,173400,54611,1236,36223,1874,30044,425071,100714,227538,144095,38.6,144095,21852,146
119,12,2011,54321,182400,43996,558,23810,1824,20114,97756,40390,-999999999,44917,63.7,44917,5484,147
127,12,2011,49483,128600,38213,858,23136,1477,25182,494804,137768,215528,190074,45.9,190074,43492,148
013,13,2011,57907,121400,50490,1024,31065,1186,31399,69912,17179,37457,23270,33.9,23270,6614,149
015,13,2011,51058,129200,44034,842,26081,970,26831,100421,21364,47294,33661,36.9,33661,9647,150
021,13,2011,47285,131400,33878,800,21669,1457,24471,156433,30720,69862,56645,35.1,56645,15399,151
031,13,2011,50665,138400,32251,802,11729,1091,15690,72881,12696,33906,25535,25,25535,14507,152
045,13,2011,53876,115800,42858,837,25625,1060,26809,111159,25855,51403,38674,33.6,38674,9037,153
051,13,2011,50971,165600,42730,974,31303,1435,25781,271544,58043,132166,100091,33.9,100091,28739,154
057,13,2011,71898,175200,62515,1209,37719,1642,32258,218286,59295,115482,77388,36.7,77388,5760,155
059,13,2011,44251,157100,28843,788,19904,1602,16187,117344,18143,53821,40177,25.4,40177,29931,156
063,13,2011,41768,88800,37050,928,26667,1076,22361,261532,48374,133863,86747,32,86747,30676,157
067,13,2011,71888,193300,57906,1162,37672,1606,32127,697553,168206,392489,260577,35.6,260577,35154,158
073,13,2011,69062,162800,61718,1114,41250,1581,35346,128112,36456,65750,47312,36.9,47312,4036,159
077,13,2011,63713,182800,54792,1075,36940,1751,34177,129629,32731,63999,47424,37,47424,10149,160
089,13,2011,54686,163700,48297,1103,38016,1979,30320,699893,149045,380782,262162,34.6,262162,57585,161
095,13,2011,33258,101400,28424,699,19514,1350,20083,94788,16647,42036,36123,32.9,36123,14022,162
097,13,2011,51882,127600,49282,1008,36710,1286,32176,133355,33456,70745,47239,36.3,47239,7231,163
113,13,2011,80026,221100,72962,1324,38934,2430,36453,107784,32773,52993,38450,42.7,38450,2665,164
115,13,2011,50294,107500,40963,717,23246,1068,23032,95989,22457,45007,34919,38.5,34919,6878,165
117,13,2011,93785,252400,82209,1586,21916,2099,32109,181840,41274,86341,48268,36.8,48268,7770,166
121,13,2011,70502,230500,53697,1138,39062,2706,33254,949599,193610,509117,367228,34.3,367228,86971,167
127,13,2011,54862,162400,45726,863,31088,1180,24985,80386,19994,40278,31081,40.3,31081,7576,168
135,13,2011,62979,166400,56523,1242,36650,2182,30213,824941,175480,429543,264233,34,264233,61070,169
139,13,2011,53972,161600,50108,969,29282,1445,26245,183052,42368,88537,60043,34.8,60043,9839,170
151,13,2011,59103,146000,57258,1227,36333,1791,34910,207360,51406,104539,70805,36.2,70805,8247,171
153,13,2011,61911,125500,51021,896,30944,1294,30530,143925,35809,74005,52603,35.3,52603,7831,172
179,13,2011,50268,139900,45485,978,36225,1634,30623,65451,13123,33886,24578,28.1,24578,4695,173
185,13,2011,43343,135000,32898,777,23088,1111,19453,111885,20349,53817,38178,29.6,38178,14905,174
215,13,2011,46286,131200,37333,830,27009,844,23823,194107,36778,93089,70724,33.6,70724,17068,175
217,13,2011,49664,125100,40932,1021,27263,1404,28296,100814,24661,47997,33298,36,33298,13227,176
223,13,2011,59686,130000,57764,1134,32396,1352,32116,143542,38026,77568,48994,34.7,48994,7569,177
245,13,2011,44458,106100,38928,800,25775,1086,25298,201217,38632,95429,71262,33.2,71262,21293,178
247,13,2011,52351,143200,51067,1032,35908,1260,29328,85765,20575,43013,28789,38.4,28789,2933,179
285,13,2011,47117,107900,40368,807,23488,1177,25292,67764,14987,32320,24744,36.5,24744,7894,180
295,13,2011,49991,105400,38187,588,16836,817,25028,68848,19347,32627,27224,39.8,27224,4324,181
297,13,2011,56401,155500,50129,1021,21298,1813,31729,84580,22589,39988,28979,39.1,28979,5888,182
313,13,2011,41287,121400,36928,724,23347,782,24033,103184,21957,50080,34637,33.9,34637,5003,183
001,15,2011,54502,290400,46479,1029,24694,727,26870,186738,42462,87239,64605,40.4,64605,19129,184
003,15,2011,79442,544300,66146,1551,41858,1567,32904,963607,168912,509981,308495,37.6,308495,47929,185
007,15,2011,67633,479700,60751,1358,37160,1034,30541,67701,13559,35069,22874,42.2,22874,5421,186
009,15,2011,72843,527900,60147,1294,36844,856,31226,156693,29767,85785,52549,40.1,52549,8704,187
001,16,2011,59623,173400,49643,965,29641,1456,27500,400842,101252,206250,151755,35.2,151755,20310,188
005,16,2011,52600,143000,41097,693,20055,1345,19626,83691,19596,40367,30177,31.5,30177,6728,189
019,16,2011,55425,150400,47828,778,26826,1212,21707,105772,25956,51380,36538,32.3,36538,5291,190
027,16,2011,41932,105800,38470,811,21131,1235,21971,191694,44677,84998,63358,32.4,63358,19993,191
055,16,2011,53649,184800,47782,939,28681,1259,24386,141132,39788,70675,56226,39.2,56226,10911,192
083,16,2011,49742,158200,42015,675,28229,1175,24385,78005,17173,36652,28196,32.4,28196,5240,193
001,17,2011,55856,98700,42635,614,22315,1487,23898,67159,19056,35360,25964,40,25964,5173,194
019,17,2011,64910,149600,39591,871,23542,3040,20465,201685,42116,104442,78993,28.7,78993,33156,195
031,17,2011,61037,224900,50813,1150,35899,4241,31364,5217080,1105191,2729953,1916910,35.4,1916910,420694,196
037,17,2011,64993,168400,51327,961,24216,4500,21171,104743,22775,58981,36774,28.8,36774,8799,197
043,17,2011,88286,277700,74072,1496,41462,6064,36936,923222,249016,518452,335379,38.4,335379,28384,198
089,17,2011,75741,219200,66497,1406,38624,5538,30695,520271,122582,274250,168340,34.8,168340,24606,199
091,17,2011,51731,138200,45669,891,31740,2897,27639,113698,29074,54710,41149,37.3,41149,9978,200
093,17,2011,90844,206800,80655,1775,53797,5760,43270,116631,33599,61195,37049,33.6,37049,2352,201
097,17,2011,87222,254200,74266,1591,39807,6764,34079,706222,184215,380360,240051,36.8,240051,31714,202
099,17,2011,61088,123400,48935,788,26905,2820,25611,113518,32844,59839,43854,41.6,43854,5650,203
111,17,2011,80638,215700,70117,1519,41725,5657,36091,308944,91269,170717,108186,38.4,108186,7893,204
113,17,2011,78507,157500,57799,912,29752,3517,28896,170556,41959,94524,63240,32.8,63240,13940,205
115,17,2011,61240,94700,44415,664,26833,1965,27563,110730,29317,54158,43604,40.4,43604,7117,206
119,17,2011,62014,123500,50372,830,27402,2425,29947,268459,77013,135014,106535,39.2,106535,16891,207
143,17,2011,60524,120900,48988,744,30268,2617,28693,186834,49280,94503,75933,36.9,75933,13849,208
161,17,2011,56910,112700,43597,727,28735,2360,26058,147556,43240,73974,61259,39.7,61259,8066,209
163,17,2011,60795,131700,50318,876,27344,2712,29847,270259,70282,133813,101789,37.5,101789,28071,210
167,17,2011,65721,128700,51075,830,31458,2428,30683,198844,58099,104356,82704,39.1,82704,17856,211
179,17,2011,61413,128700,49237,749,32293,2431,29915,135661,41448,69109,54647,40.4,54647,6600,212
183,17,2011,51280,76900,40869,627,25457,1365,27682,81509,22040,35947,31414,40.5,31414,7659,213
197,17,2011,81595,216600,71882,1531,36037,5392,35750,681545,181509,355379,220536,35.8,220536,22379,214
199,17,2011,54031,96800,40439,664,21648,1383,25555,66622,19022,31539,26648,41.6,26648,4043,215
201,17,2011,52145,124700,43603,886,26826,3382,26617,293993,75668,149302,112221,38.9,112221,29334,216
003,18,2011,57278,111700,47426,724,30393,985,30357,358327,94730,179273,136723,35.4,136723,30659,217
005,18,2011,64314,139100,54197,813,28319,1170,31163,77870,20914,39700,29086,38.1,29086,4019,218
019,18,2011,64083,132100,52464,819,27303,1060,30372,111570,29537,59099,42156,38.6,42156,7885,219
035,18,2011,47685,90700,36811,681,21057,822,19119,117660,29423,54999,45477,34.6,45477,14946,220
039,18,2011,54585,122000,43317,778,26843,1134,26494,198941,51850,97431,70795,35.2,70795,22021,221
043,18,2011,65080,148900,50940,815,27174,1195,31101,74989,20693,39573,28934,38.8,28934,4778,222
053,18,2011,45554,82500,38187,629,24594,628,22761,69793,18997,31679,27758,40.2,27758,4018,223
057,18,2011,96843,210000,80999,1272,50621,2074,43593,282810,83445,154202,103706,36.1,103706,7014,224
059,18,2011,68280,148500,57062,988,39841,1351,34656,70529,21178,36016,26130,38.3,26130,4553,225
063,18,2011,73941,160100,61687,1029,32842,1734,35941,147979,43502,74245,52921,36.7,52921,2897,226
067,18,2011,53532,97300,37589,646,21195,622,24468,82800,23605,40338,34259,40.7,34259,5887,227
081,18,2011,72462,146700,62274,996,32063,1376,34164,141656,38370,74978,51512,36.6,51512,4491,228
085,18,2011,57720,127500,50803,759,23826,786,27044,77336,22388,41850,28664,37.6,28664,2833,229
089,18,2011,58482,135200,48533,879,25824,1675,30700,495558,125586,237697,181198,37.5,181198,52331,230
091,18,2011,65542,119300,48389,785,24766,981,30602,111374,30674,52512,42075,39.3,42075,7595,231
095,18,2011,51592,93800,42129,694,26293,820,23887,131235,35043,60035,49713,39.2,49713,10869,232
097,18,2011,48785,116200,39631,818,29199,1235,26470,911296,198896,474362,358552,33.9,358552,89073,233
105,18,2011,57830,158800,38149,829,20339,1114,16175,139799,29252,72637,53620,27.6,53620,21107,234
109,18,2011,63748,141800,52051,891,30324,713,28715,69464,18554,34432,24900,41.2,24900,2592,235
127,18,2011,73766,161900,61432,944,35242,1524,31832,165537,46135,85682,61046,38.4,61046,8985,236
141,18,2011,53579,112500,43766,748,28091,1142,25563,266700,69831,135564,102401,36.4,102401,22346,237
157,18,2011,60075,133700,42404,831,24482,1016,20060,174724,34503,89638,66480,27.5,66480,23686,238
163,18,2011,55972,110600,43630,754,26290,836,27560,180305,47222,92319,74063,38,74063,12153,239
167,18,2011,56227,92900,39229,699,22718,899,20867,108182,24689,53075,37764,35.5,37764,9778,240
177,18,2011,40804,89100,36358,688,23757,902,24212,68643,19663,33440,28274,40.5,28274,7347,241
013,19,2011,55398,126200,42438,709,26835,1866,23408,131549,35199,72106,51917,34.5,51917,9401,242
049,19,2011,80888,178900,69831,1118,31479,2754,41058,69444,20217,-999999999,26131,33.7,26131,3245,243
061,19,2011,67862,146800,53011,776,30274,1933,28497,94648,27949,53521,37646,39.5,37646,2091,244
103,19,2011,76431,180500,52732,952,29434,2780,25844,133038,32614,79401,53910,29.3,53910,16602,245
113,19,2011,73192,144800,55449,900,31482,2247,31761,213875,64129,119527,86507,36.8,86507,10554,246
153,19,2011,71189,150400,55826,947,34259,2618,31817,437399,116839,242309,168589,34.8,168589,24631,247
155,19,2011,62405,125100,48850,820,30162,2106,28855,93518,25460,49105,36091,38.6,36091,5610,248
163,19,2011,64994,146600,49549,826,30187,2210,31181,167095,44567,85571,66355,37.6,66355,11258,249
169,19,2011,72157,160500,45866,741,25303,2169,19677,89663,19154,50962,34794,26.4,34794,11610,250
193,19,2011,53711,98500,42435,648,23574,1564,24582,102509,25797,53281,39265,34.7,39265,6966,251
015,20,2011,62494,124800,51843,863,26753,2086,30164,65817,17817,32923,23681,36.9,23681,1266,252
045,20,2011,63758,173700,47757,994,28861,2267,20494,112211,22359,68017,43371,28,43371,11147,253
091,20,2011,87734,209900,69856,1214,42889,2773,38846,552991,152299,315040,216252,36.6,216252,14829,254
103,20,2011,74518,168900,62453,982,28728,2333,31565,75527,16912,36644,25192,38.4,25192,2702,255
161,20,2011,64716,174200,45122,856,24979,2253,23184,72997,10549,40688,25207,24.2,25207,9034,256
173,20,2011,63221,125600,49478,815,30006,1597,29106,501076,125639,264360,191715,34.5,191715,26772,257
177,20,2011,62373,115000,43900,758,25168,1802,26647,178941,46476,91013,71584,39.4,71584,12193,258
209,20,2011,43281,89900,37991,769,25664,1563,23019,158224,35423,78559,56908,33.1,56908,20126,259
015,21,2011,69979,171300,63556,1082,36327,1570,31387,121737,33642,62357,42281,35.4,42281,4053,260
029,21,2011,61404,138000,51436,862,34278,1254,28678,75109,22014,39791,27773,38.1,27773,2528,261
037,21,2011,64482,143000,53968,836,26382,1685,30820,90940,24267,49830,34466,36.5,34466,5792,262
047,21,2011,46094,96600,35573,722,20864,840,24874,73591,13098,33833,25793,29.6,25793,6728,263
